LRU序号,最后修改时间_AsiaShanghai,距审计日天数,类别,路径,大小_字节,治理状态,治理优先级,静态引用文件数,引用样例_最多3个,Last_materially_modified,建议治理动作,误删风险,说明
304,2026-07-28T19:40:43+08:00,6.48,文档,docs/value_provenance_registry_20260727.md,11800,近期变更待观察,P4,2,.github/skills/mm-as-glft-ml-spread/SKILL.md | research/families/f01_fixed_parameter_racing/docs/fixed_parameter_strategy_family_closed.md,,检查测试/文档是否随本次变更同步,中,mtime 很新，但不代表已完成语义审计
305,2026-07-28T19:40:43+08:00,6.48,冻结规范/登记表,docs/value_provenance_registry_20260727.json,40788,受保护：历史/冻结证据,P3,2,docs/value_provenance_registry_20260727.md | tests/test_value_provenance_registry.py,,核对身份、hash 与 current/superseded 声明；禁止因年龄直接改写结论,高,冻结证据只允许身份和索引层治理
306,2026-07-28T19:40:43+08:00,6.48,文档,docs/experiment_scorecard_v1_20260722.md,13482,近期变更待观察,P4,4,docs/audit_entrypoints_20260630.md | docs/research/README.md | project.md,,检查测试/文档是否随本次变更同步,中,mtime 很新，但不代表已完成语义审计
308,2026-07-28T19:44:19+08:00,6.48,代码,research/families/f06_placement_fill_cif/__init__.py,150,保留：稳定包标记,P4,1,research/governance/migrations/layout_v2.json,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
309,2026-07-28T19:50:34+08:00,6.48,代码,research/governance/migrations/layout_v1.json,75426,近期变更待观察,P4,5,research/README.md | research/governance/migrations/layout_v2.json | research/governance/paths.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
310,2026-07-28T20:32:00+08:00,6.45,冻结规范/登记表,research/families/f06_placement_fill_cif/docs/ordered_common_support_fill_surface_v1_spec_20260728.json,7721,受保护：历史/冻结证据,P3,4,research/families/f06_placement_fill_cif/audit/ordered_common_support_contract_audit.py | research/families/f06_placement_fill_cif/audit/ordered_common_support_fill_surface.py | research/families/f06_placement_fill_cif/docs/ordered_common_support_fill_surface_v1_development_20260728.md,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
311,2026-07-28T20:43:02+08:00,6.44,文档,research/families/f06_placement_fill_cif/docs/ordered_common_support_fill_surface_v1_development_20260728.md,4710,受保护：历史/冻结证据,P3,1,research/governance/migrations/layout_v2.json,2026-07-28,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
312,2026-07-28T21:51:02+08:00,6.39,冻结规范/登记表,research/families/f06_placement_fill_cif/docs/ordered_common_support_fill_surface_v1_contract_audit_20260728.json,5072,受保护：历史/冻结证据,P3,3,research/families/f06_placement_fill_cif/audit/ordered_common_support_contract_audit.py | research/families/f06_placement_fill_cif/docs/ordered_common_support_fill_surface_v1_contract_errata_20260728.md | research/governance/migrations/layout_v2.json,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
313,2026-07-28T22:01:16+08:00,6.39,文档,research/families/f06_placement_fill_cif/docs/ordered_common_support_fill_surface_v1_contract_errata_20260728.md,4815,受保护：历史/冻结证据,P3,1,research/governance/migrations/layout_v2.json,2026-07-28,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
314,2026-07-28T22:08:35+08:00,6.38,代码,scripts/probe_binance_deep_book.py,4017,已治理：2026-07-27,P4,1,docs/ops/README.md,,保留 1000-level snapshot+diff 运维探针；随 deep-book adapter 变更复核,高,直接验证当前 BinanceUsdMDeepBook snapshot、sequence/freshness 和双边最低档数；CLI help 通过
315,2026-07-28T22:34:17+08:00,6.36,代码,research/families/f06_placement_fill_cif/audit/paired_lifecycle_contract.py,8389,近期变更待观察,P4,4,research/families/f06_placement_fill_cif/audit/ordered_common_support_contract_audit.py | research/families/f06_placement_fill_cif/audit/paired_action_resolution_feasibility.py | research/governance/migrations/layout_v2.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
316,2026-07-28T22:55:10+08:00,6.35,冻结规范/登记表,research/families/f06_placement_fill_cif/docs/paired_action_resolution_feasibility_v1_spec_20260728.json,10355,受保护：历史/冻结证据,P3,3,research/families/f06_placement_fill_cif/audit/paired_action_resolution_feasibility.py | research/families/f06_placement_fill_cif/docs/paired_action_resolution_feasibility_v1_development_20260728.md | research/governance/migrations/layout_v2.json,,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
317,2026-07-29T00:17:50+08:00,6.29,文档,research/families/f06_placement_fill_cif/docs/paired_action_resolution_feasibility_v1_development_20260728.md,5692,受保护：历史/冻结证据,P3,1,research/governance/migrations/layout_v2.json,2026-07-28,核对身份、hash 与 current/superseded 声明；禁止因年龄改写结论,高,冻结证据只允许索引、路径解析与解释层治理
318,2026-07-29T02:29:30+08:00,6.2,代码,research/governance/migrations/layout_v2.json,108769,近期变更待观察,P4,4,research/README.md | research/governance/paths.py | research/registry.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
319,2026-07-29T02:30:52+08:00,6.2,代码,research/__init__.py,79,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
320,2026-07-29T02:30:52+08:00,6.2,代码,research/families/__init__.py,47,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
321,2026-07-29T02:30:52+08:00,6.2,代码,research/governance/__init__.py,76,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
322,2026-07-29T02:30:52+08:00,6.2,代码,research/shared/__init__.py,75,保留：稳定包标记,P4,0,,,确认包导出与安装语义；通常保留,低,mtime 对稳定包标记的治理价值有限
323,2026-07-29T02:32:41+08:00,6.2,代码,strategy/fill_selection_model.py,6399,近期变更待观察,P4,5,models/backtest_tick.py | research/families/f05_fill_quality_quote_ev/docs/buy_fill_selection_live_shadow_retirement_operational_release_v3_20260804.md | strategy/maker_engine.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
324,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_event_identity_and_riskset_v2.py,3230,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
325,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_safe_add_rearm_hazard.py,5225,候选删除：关闭 action evaluator，待用户确认,P1,1,docs/repository_lru_audit_20260727.md,,与同组 evaluator/test 原子删除；先保留冻结报告、通用 replay/OPE 与 artifact identity,中,精确 action family 已关闭；代码存在不再代表研究或 live 权限
326,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_binance_trade_mapping.py,4041,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
327,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_direct_fill_cif.py,6552,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
328,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_audit_order_level.py,28545,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
329,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_queue_value_models.py,11256,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
330,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_state_conditioned_policy_artifact.py,2198,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
331,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_safe_policy_improvement.py,3501,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
332,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_fill_toxicity.py,7533,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
333,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_request_state_panel.py,5052,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
334,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_order_level_panel_manifest.py,478,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
335,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_evaluate_request_state_race.py,1469,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
336,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_fill_inventory_lifecycle.py,1925,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
337,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_active_order_queue_closure.py,2238,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
338,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_safe_add_rearm_state_policy.py,2988,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
339,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_taker_tempo_features.py,1360,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
340,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_train_quote_ev_horizon.py,835,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
341,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_evaluate_full_curve_fill_cif.py,2436,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
342,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_evaluate_direct_fill_cif.py,1484,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
343,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f06_placement_fill_cif/audit/sparse_order_lifecycle.py,17665,近期变更待观察,P4,4,research/families/f06_placement_fill_cif/audit/placement_fill_panel.py | research/families/f06_placement_fill_cif/docs/placement_fill_request_state_race_v2_spec_20260728.json | research/governance/migrations/layout_v2.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
344,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_request_state_features.py,2834,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
345,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_local_order_value_panel.py,10334,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
346,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_reference_replay.py,7461,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
347,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_local_order_value_replay.py,4553,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
348,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_market_tape.py,7275,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
349,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_fast3_direction_policy_audit.py,707,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
350,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f08_side_taker_lifecycle/audit/historical_live_aggtrade_parity.py,18747,近期变更待观察,P4,2,research/governance/migrations/layout_v2.json | tests/test_historical_live_aggtrade_parity.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
351,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f06_placement_fill_cif/audit/evaluate_direct_fill_cif.py,12974,近期变更待观察,P4,2,research/governance/migrations/layout_v2.json | tests/test_evaluate_direct_fill_cif.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
352,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_historical_live_aggtrade_parity.py,4780,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
353,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_toxic_fill_selectivity.py,4807,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
354,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f08_side_taker_lifecycle/audit/live_taker_flow_parity.py,12169,近期变更待观察,P4,2,research/governance/migrations/layout_v2.json | tests/test_live_taker_flow_parity.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
355,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_randomized_action_contrast.py,3947,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
356,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_source_incremental_quality.py,7538,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
357,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f06_placement_fill_cif/audit/request_state_race.py,13291,近期变更待观察,P4,6,research/families/f06_placement_fill_cif/audit/evaluate_request_state_race.py | research/families/f06_placement_fill_cif/audit/ordered_common_support_fill_surface.py | research/families/f06_placement_fill_cif/audit/placement_fill_panel.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
358,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_global_reference_layer.py,7605,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
359,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f06_placement_fill_cif/audit/evaluate_policy_clock_fill_cif.py,15284,近期变更待观察,P4,2,research/governance/migrations/layout_v2.json | tests/test_evaluate_policy_clock_fill_cif.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
360,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_rest_latency_calibration.py,1503,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
361,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_safe_add_rearm_ope_panel.py,6620,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
362,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_external_venue_model_features.py,10262,保留：回归/合同测试,P4,1,research/families/f04_external_market_alpha/docs/external_venue_model_granularity_20260713.md,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,高,测试零静态引用属正常，不是删除证据
363,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_recovery_event_rearm.py,4415,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
364,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f10_live_replay_attribution/audit/maker_lifecycle_panel.py,31817,近期变更待观察,P4,4,docs/audit_entrypoints_20260630.md | research/families/f10_live_replay_attribution/audit/maker_lifecycle_screen.py | research/governance/migrations/layout_v2.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
365,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_paired_lifecycle_contract.py,4755,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
366,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f10_live_replay_attribution/audit/maker_lifecycle_screen.py,19776,近期变更待观察,P4,3,docs/audit_entrypoints_20260630.md | research/governance/migrations/layout_v2.json | tests/test_maker_lifecycle_screen.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
367,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f06_placement_fill_cif/audit/policy_clock_fill_cif.py,44844,近期变更待观察,P4,3,research/governance/migrations/layout_v2.json | tests/test_evaluate_policy_clock_fill_cif.py | tests/test_policy_clock_fill_cif.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
368,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_live_order_fill_closure.py,2381,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
369,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_policy_clock_fill_cif.py,6111,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
370,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_dynamic_mechanism_campaign_audit.py,4669,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
371,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f05_fill_quality_quote_ev/audit/order_score_fast.py,79243,近期变更待观察,P4,4,docs/audit_entrypoints_20260630.md | docs/codebase_architecture_20260705.md | research/governance/migrations/layout_v2.json,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
372,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_side_taker_hazard_calibration.py,6751,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
373,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_queue_value_competing_risk.py,5857,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
374,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_paired_order_lifecycle.py,13113,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
375,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_market_data_latency.py,5032,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
376,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_dynamic_fill_hazard.py,24292,保留：回归/合同测试,P4,1,research/families/f10_live_replay_attribution/docs/buy_q90_dual_clock_terminal_routing_contract_v2_implementation_20260802.json,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,高,测试零静态引用属正常，不是删除证据
377,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_maker_lifecycle_panel.py,4862,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
378,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_side_taker_flow_panel.py,5444,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
379,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_maker_lifecycle_screen.py,1452,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
380,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f10_live_replay_attribution/audit/runner.py,35172,近期变更待观察,P4,8,README.md | README.zh-CN.md | docs/audit_entrypoints_20260630.md,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
381,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_sell_repair_trend_skip_cate.py,2646,候选删除：关闭 action evaluator，待用户确认,P1,1,docs/repository_lru_audit_20260727.md,,与同组 evaluator/test 原子删除；先保留冻结报告、通用 replay/OPE 与 artifact identity,中,精确 action family 已关闭；代码存在不再代表研究或 live 权限
382,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_local_action_ope_report.py,7041,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
383,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_live_taker_flow_parity.py,2218,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
384,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_buy_conditional_widen_cate.py,1548,候选删除：关闭 action evaluator，待用户确认,P1,1,docs/repository_lru_audit_20260727.md,,与同组 evaluator/test 原子删除；先保留冻结报告、通用 replay/OPE 与 artifact identity,中,精确 action family 已关闭；代码存在不再代表研究或 live 权限
385,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_fill_toxicity_incremental.py,8963,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
386,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_event_identity_and_riskset.py,4303,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
387,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_parameter_selection.py,9215,保留：回归/合同测试,P4,2,README.md | README.zh-CN.md,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,高,测试零静态引用属正常，不是删除证据
388,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_external_venue_shadow_panel.py,5099,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
389,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_local_action_uplift.py,10963,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
390,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_risk_set_expansion.py,1057,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
391,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_full_curve_fill_cif.py,13582,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
392,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_ordered_common_support_fill_surface.py,3511,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
393,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_sell_campaign_add_permission_cate.py,3902,候选删除：关闭 action evaluator，待用户确认,P1,1,docs/repository_lru_audit_20260727.md,,与同组 evaluator/test 原子删除；先保留冻结报告、通用 replay/OPE 与 artifact identity,中,精确 action family 已关闭；代码存在不再代表研究或 live 权限
394,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_empirical_pending_nuisance.py,5035,保留：回归/合同测试,P4,3,research/families/f06_placement_fill_cif/docs/placement_fill_empirical_pending_nuisance_v3_fit_spec_20260728.json | research/families/f06_placement_fill_cif/docs/placement_fill_empirical_pending_nuisance_v3_fit_spec_v2_20260728.json | research/families/f06_placement_fill_cif/docs/placement_fill_empirical_pending_nuisance_v3_fit_spec_v3_20260728.json,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,高,测试零静态引用属正常，不是删除证据
395,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_offline_policy_evaluation.py,8526,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
396,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_evaluate_competing_curve_cif.py,2420,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
397,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_null_baseline_panel.py,1807,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
398,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_post_fill_stop_add_paired.py,2255,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
399,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_state_conditioned_rearm_panel.py,3430,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
400,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_causal_path_features.py,3622,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
401,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_placement_fill_spec.py,2261,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
402,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_fill_selection_score.py,15213,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
403,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_paired_action_resolution_feasibility.py,4766,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
404,2026-07-29T02:32:41+08:00,6.2,代码,research/families/f01_fixed_parameter_racing/audit/paired_screening.py,6635,近期变更待观察,P4,5,docs/codebase_architecture_20260705.md | research/families/f01_fixed_parameter_racing/parameter_racing_sweep.py | research/families/f01_fixed_parameter_racing/parameter_selection.py,,检查测试、文档、registry 与冻结 hash 是否随本次变更同步,高,近期修改不等于语义审计或 action 权限已经完成
405,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_queue_value_keep_cancel_replay.py,24963,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
406,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_campaign_tail_score.py,4371,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
407,2026-07-29T02:32:41+08:00,6.2,测试,tests/test_request_state_race.py,1902,保留：回归/合同测试,P4,0,,,确认仍保护当前实现或冻结身份；只随对应代码原子退役,中,测试零静态引用属正常，不是删除证据
